x,y
622,339
621,340
621,340
619,341
618,342
618,342
618,343
618,342
617,342
616,343
616,343
616,343
616,343
616,344
616,344
616,345
617,345
618,345
619,345
621,343
623,342
626,341
630,340
633,340
636,341
638,341
639,342
640,342
640,343
640,343
640,344
640,344
639,345
639,345
637,345
635,345
633,344
632,343
631,342
630,341
630,340
630,339
630,338
630,338
632,337
632,336
632,336
632,335
632,335
632,335
633,333
633,332
633,330
634,329
634,326
633,323
631,320
629,317
626,315
623,313
620,312
616,312
611,311
606,310
601,310
596,311
591,312
586,312
582,312
577,312
573,313
569,314
564,316
561,317
557,319
554,320
552,320
548,321
546,322
544,322
542,323
540,324
539,324
538,324
537,324
538,324
539,325
542,326
545,328
549,329
554,330
559,331
564,331
570,332
575,331
581,332
587,332
593,334
599,334
605,335
611,334
617,335
624,334
630,334
637,334
645,334
652,335
659,335
666,336
672,336
678,338
683,339
688,340
692,341
696,343
700,344
705,346
709,347
712,349
716,350
720,352
723,354
727,355
731,357
735,358
739,359
743,360
747,360
751,361
755,361
760,360
764,360
768,360
772,360
776,360
779,362
783,362
786,362
789,363
792,363
796,363
799,363
802,363
803,363
804,362
804,362
804,362
803,361
800,361
796,360
791,359
784,358
775,357
765,355
753,354
738,353
723,352
706,351
690,349
673,348
655,347
636,348
617,350
597,352
576,355
555,359
534,362
513,364
493,364
474,364
456,363
440,362
425,362
413,362
404,362
395,362
390,360
386,359
384,357
383,355
384,355
384,355
386,355
388,354
392,354
396,354
401,353
407,351
414,349
423,348
433,348
444,346
456,344
469,342
482,342
496,343
510,344
526,344
544,345
565,344
587,343
612,344
637,344
664,343
689,342
713,341
735,342
756,343
773,346
790,349
804,352
816,354
828,356
838,357
846,359
854,361
860,362
865,363
870,363
873,363
876,363
877,364
877,363
875,363
871,363
864,363
856,363
845,363
833,363
820,363
804,363
787,364
768,363
749,362
728,362
707,361
684,361
660,361
635,362
609,365
583,368
558,371
532,373
508,374
484,373
463,373
443,371
426,369
409,366
395,365
384,362
374,360
366,359
360,359
355,358
351,359
346,360
344,359
342,360
342,361
342,361
344,361
347,361
351,362
356,362
362,362
368,361
377,360
385,359
396,359
408,358
421,357
435,357
450,357
465,356
483,355
500,354
520,353
539,352
558,350
578,348
598,347
618,347
637,349
659,351
681,354
703,357
725,358
745,359
765,358
783,359
800,359
814,359
826,361
836,361
843,361
849,360
853,360
855,358
854,356
853,355
849,353
842,352
835,350
826,348
815,344
803,341
790,336
777,333
763,333
748,334
734,334
719,334
705,332
692,329
681,324
671,319
661,315
653,311
645,307
637,302
632,298
627,294
622,291
619,289
615,287
612,286
610,286
608,285
607,285
606,287
606,286
606,287
606,289
608,290
609,293
612,296
615,300
619,304
623,310
627,317
632,324
636,329
640,334
644,339
649,342
653,347
656,351
659,354
661,357
661,360
661,363
661,366
659,368
658,369
657,371
655,372
652,373
649,374
646,375
643,376
640,378
638,379
636,381
634,382
634,383
633,384
632,384
631,384
630,384
628,384
627,384
625,383
623,382
621,381
619,380
616,378
613,376
609,375
606,374
602,373
598,372
594,372
589,373
584,374
579,376
574,377
570,380
565,381
561,382
555,383
552,384
547,384
544,384
541,384
539,385
537,385
536,386
534,388
533,388
532,389
532,390
532,390
533,389
535,389
537,388
539,388
542,388
545,388
549,388
553,386
557,386
560,385
563,384
567,385
571,386
575,387
579,387
584,387
590,387
597,387
604,387
613,385
622,385
631,384
642,383
653,382
662,382
672,382
681,381
689,382
696,382
703,382
709,382
715,382
719,382
723,382
725,382
727,382
727,383
727,384
725,383
723,382
720,382
716,380
712,379
708,379
704,379
700,379
696,378
693,377
690,376
688,375
686,374
683,374
681,374
679,374
677,375
676,375
675,373
675,371
676,369
678,367
679,365
681,365
683,364
686,364
688,364
692,364
696,363
701,362
706,361
712,360
718,359
723,357
729,356
733,355
736,354
739,353
742,353
744,353
746,352
747,351
748,350
748,350
746,350
745,350
742,351
739,351
735,352
731,353
726,354
720,355
713,357
706,359
699,360
691,361
683,363
675,364
664,365
653,365
641,366
628,365
616,365
604,363
592,361
580,359
568,359
557,359
546,359
536,359
526,361
517,361
509,363
501,364
495,366
488,368
483,370
478,372
474,374
470,376
468,376
466,378
465,378
464,377
464,378
465,377
466,377
468,378
471,379
475,379
479,378
483,378
487,379
491,379
494,379
497,379
499,379
502,380
505,381
508,382
512,382
515,382
520,382
525,382
531,382
538,381
546,380
555,378
566,376
576,374
586,374
598,372
610,371
621,370
632,370
643,370
653,370
662,372
670,373
678,374
685,374
692,374
697,374
703,374
707,374
713,373
717,373
722,373
727,372
733,371
738,372
742,372
746,372
750,372
753,372
757,372
761,372
765,372
768,372
771,373
773,373
775,373
776,373
775,374
774,373
772,373
769,373
766,373
762,374
758,374
752,373
747,373
741,372
734,372
726,371
717,370
708,370
699,370
690,369
680,369
672,368
664,367
656,366
649,365
642,365
634,366
626,366
618,367
610,368
603,369
596,370
589,371
583,373
577,374
573,375
569,377
566,378
562,378
559,379
556,381
554,382
551,382
549,383
548,382
548,382
549,382
549,382
551,382
553,382
556,383
558,382
562,382
566,381
572,381
577,381
582,381
588,381
593,381
598,381
603,381
607,381
611,380
614,380
617,380
619,380
622,379
624,378
625,378
627,378
628,379
629,379
629,378
629,379
629,380
628,379
627,380
627,379
626,380
625,380
625,381
624,380
624,381
624,381
624,381
623,381

